cell_id,bs_lat,bs_lon,plmn,name,bs_is_5g,bs_has_dss,bs_band,bs_sector,bs_band_num,bs_sector_num,bs_bands_all,source_file,dem_alt_m,dem_file
204927777,42.9505477,12.7212556,22201,B1 S3 Foligno Str. Vic. San Bartolomeo,0,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,266.1980895996094,w47580_s10.tif
204927785,42.9505477,12.7212556,22201,B3 S1 Foligno Str. Vic. San Bartolomeo,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,266.1980895996094,w47580_s10.tif
204927786,42.9505477,12.7212556,22201,B3 S2 Foligno Str. Vic. San Bartolomeo,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,266.1980895996094,w47580_s10.tif
204927787,42.9505477,12.7212556,22201,B3 S3 Foligno Str. Vic. San Bartolomeo,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,266.1980895996094,w47580_s10.tif
204927806,42.9505477,12.7212556,22201,B20 S2 Foligno Str. Vic. San Bartolomeo,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,266.1980895996094,w47580_s10.tif
204928297,42.9602255,12.721889,22201,B3 S1 Foligno Via Vocabolo Colpernaco,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,270.4071960449219,w47580_s10.tif
204928298,42.9602255,12.721889,22201,B3 S2 Foligno Via Vocabolo Colpernaco,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,270.4071960449219,w47580_s10.tif
204928299,42.9602255,12.721889,22201,B3 S3 Foligno Via Vocabolo Colpernaco,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,270.4071960449219,w47580_s10.tif
204928811,42.9841228,12.7390026,22201,B3 S3 Foligno Scanzano,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,268.0541076660156,w47580_s10.tif
204929065,42.9093911,12.7304414,22201,B3 S1 Trevi Loc. Matigge Via Flamina,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,219.8585968017578,w47580_s10.tif
204929067,42.9093911,12.7304414,22201,B3 S3 Trevi Loc. Matigge Via Flamina,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,219.8585968017578,w47580_s10.tif
204947221,43.1106852,12.3890226,22201,B7 S1 5G Perugia Telecom Via Mazzini,1,0,B7,S1,7.0,1.0,B7,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947222,43.1106852,12.3890226,22201,B7 S2 5G Perugia Telecom Via Mazzini,1,0,B7,S2,7.0,2.0,B7,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947223,43.1106852,12.3890226,22201,B7 S3 5G Perugia Telecom Via Mazzini,1,0,B7,S3,7.0,3.0,B7,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947231,43.1106852,12.3890226,22201,B1 S1 5G Perugia Telecom Via Mazzini,1,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947232,43.1106852,12.3890226,22201,B1 S2 5G Perugia Telecom Via Mazzini,1,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947233,43.1106852,12.3890226,22201,B1 S3 5G Perugia Telecom Via Mazzini,1,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947241,43.1106852,12.3890226,22201,B3 S1 5G Perugia Telecom Via Mazzini,1,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947242,43.1106852,12.3890226,22201,B3 S2 5G Perugia Telecom Via Mazzini,1,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947243,43.1106852,12.3890226,22201,B3 S3 5G Perugia Telecom Via Mazzini,1,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947261,43.1106852,12.3890226,22201,B20 S1 5G Perugia Telecom Via Mazzini,1,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947262,43.1106852,12.3890226,22201,B20 S2 5G Perugia Telecom Via Mazzini,1,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204947263,43.1106852,12.3890226,22201,B20 S3 5G Perugia Telecom Via Mazzini,1,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,473.10211181640625,w47575_s10.tif
204991765,42.9665745,12.6975887,22201,B7 S1 Foligno,0,0,B7,S1,7.0,1.0,B7,tim_lteitaly.clf,234.57009887695312,w47580_s10.tif
204991766,42.9665745,12.6975887,22201,B7 S2 Foligno,0,0,B7,S2,7.0,2.0,B7,tim_lteitaly.clf,234.57009887695312,w47580_s10.tif
204991767,42.9665745,12.6975887,22201,B7 S3 Foligno,0,0,B7,S3,7.0,3.0,B7,tim_lteitaly.clf,234.57009887695312,w47580_s10.tif
204993065,43.0709503,12.5538615,22201,B3 S1 DSS Bastia Umbra Telecom Via della Repubblica,0,1,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,203.37600708007812,w47575_s10.tif
204993066,43.0709503,12.5538615,22201,B3 S2 DSS Bastia Umbra Telecom Via della Repubblica,0,1,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,203.37600708007812,w47575_s10.tif
204993067,43.0709503,12.5538615,22201,B3 S3 DSS Bastia Umbra Telecom Via della Repubblica,0,1,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,203.37600708007812,w47575_s10.tif
204993068,43.0709503,12.5538615,22201,B3 S4 DSS Bastia Umbra Telecom Via della Repubblica,0,1,B3,S4,3.0,4.0,B3,tim_lteitaly.clf,203.37600708007812,w47575_s10.tif
204993085,43.0709503,12.5538615,22201,B20 S1 DSS Bastia Umbra Telecom Via della Repubblica,0,1,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,203.37600708007812,w47575_s10.tif
204993086,43.0709503,12.5538615,22201,B20 S2 DSS Bastia Umbra Telecom Via della Repubblica,0,1,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,203.37600708007812,w47575_s10.tif
204993087,43.0709503,12.5538615,22201,B20 S3 DSS Bastia Umbra Telecom Via della Repubblica,0,1,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,203.37600708007812,w47575_s10.tif
204993088,43.0709503,12.5538615,22201,B20 S4 DSS Bastia Umbra Telecom Via della Repubblica,0,1,B20,S4,20.0,4.0,B20,tim_lteitaly.clf,203.37600708007812,w47575_s10.tif
204993823,43.0995738,12.3640036,22201,B1 S1 Perugia Via Madonna Alta,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,308.46319580078125,w47575_s10.tif
204993824,43.0995738,12.3640036,22201,B1 S2 Perugia Via Madonna Alta,0,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,308.46319580078125,w47575_s10.tif
204993825,43.0995738,12.3640036,22201,B1 S3 Perugia Via Madonna Alta,0,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,308.46319580078125,w47575_s10.tif
204993833,43.0995738,12.3640036,22201,B3 S1 Perugia Via Madonna Alta,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,308.46319580078125,w47575_s10.tif
204993834,43.0995738,12.3640036,22201,B3 S2 Perugia Via Madonna Alta,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,308.46319580078125,w47575_s10.tif
204993835,43.0995738,12.3640036,22201,B3 S3 Perugia Via Madonna Alta,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,308.46319580078125,w47575_s10.tif
204993855,43.0995738,12.3640036,22201,B20 S3 Perugia Via Madonna Alta,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,308.46319580078125,w47575_s10.tif
204994069,43.116441,12.3902429,22201,B7 S1 Perugia P.zza Lupatelli,0,0,B7,S1,7.0,1.0,B7,tim_lteitaly.clf,429.27508544921875,w47575_s10.tif
204994070,43.116441,12.3902429,22201,B7 S2 Perugia P.zza Lupatelli,0,0,B7,S2,7.0,2.0,B7,tim_lteitaly.clf,429.27508544921875,w47575_s10.tif
204994071,43.116441,12.3902429,22201,B7 S3 Perugia P.zza Lupatelli,0,0,B7,S3,7.0,3.0,B7,tim_lteitaly.clf,429.27508544921875,w47575_s10.tif
204994089,43.116441,12.3902429,22201,B3 S1 Perugia P.zza Lupatelli,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,429.27508544921875,w47575_s10.tif
204994090,43.116441,12.3902429,22201,B3 S2 Perugia P.zza Lupatelli,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,429.27508544921875,w47575_s10.tif
204994091,43.116441,12.3902429,22201,B3 S3 Perugia P.zza Lupatelli,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,429.27508544921875,w47575_s10.tif
205010731,42.7285138,12.748586,22201,B3 S3 Spoleto RAI Loc. Monte Luco,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,714.3997192382812,w47080_s10.tif
205091871,43.0515734,12.5738403,22201,B1 S1 Santa Maria degli Angeli Via Caminaccio,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091872,43.0515734,12.5738403,22201,B1 S2 Santa Maria degli Angeli Via Caminaccio,0,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091873,43.0515734,12.5738403,22201,B1 S3 Santa Maria degli Angeli Via Caminaccio,0,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091874,43.0515734,12.5738403,22201,B1 S4 Santa Maria degli Angeli Via Caminaccio,0,0,B1,S4,1.0,4.0,B1,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091881,43.0515734,12.5738403,22201,B3 S1 Santa Maria degli Angeli Via Caminaccio,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091882,43.0515734,12.5738403,22201,B3 S2 Santa Maria degli Angeli Via Caminaccio,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091883,43.0515734,12.5738403,22201,B3 S3 Santa Maria degli Angeli Via Caminaccio,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091884,43.0515734,12.5738403,22201,B3 S4 Santa Maria degli Angeli Via Caminaccio,0,0,B3,S4,3.0,4.0,B3,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091901,43.0515734,12.5738403,22201,B20 S1 Santa Maria degli Angeli Via Caminaccio,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091902,43.0515734,12.5738403,22201,B20 S2 Santa Maria degli Angeli Via Caminaccio,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091903,43.0515734,12.5738403,22201,B20 S3 Santa Maria degli Angeli Via Caminaccio,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205091904,43.0515734,12.5738403,22201,B20 S4 Santa Maria degli Angeli Via Caminaccio,0,0,B20,S4,20.0,4.0,B20,tim_lteitaly.clf,207.72720336914062,w47575_s10.tif
205118229,43.096656,12.3174745,22201,B7 S1 5G Corciano Ellera,1,0,B7,S1,7.0,1.0,B7,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205118230,43.096656,12.3174745,22201,B7 S2 5G Corciano Ellera,1,0,B7,S2,7.0,2.0,B7,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205118231,43.096656,12.3174745,22201,B7 S3 5G Corciano Ellera,1,0,B7,S3,7.0,3.0,B7,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205118239,43.096656,12.3174745,22201,B1 S1 5G Corciano Ellera,1,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205118240,43.096656,12.3174745,22201,B1 S2 5G Corciano Ellera,1,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205118241,43.096656,12.3174745,22201,B1 S3 5G Corciano Ellera,1,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205118249,43.096656,12.3174745,22201,B3 S1 5G Corciano Ellera,1,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205118251,43.096656,12.3174745,22201,B3 S3 5G Corciano Ellera,1,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205118269,43.096656,12.3174745,22201,B20 S1 5G Corciano Ellera,1,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205118271,43.096656,12.3174745,22201,B20 S3 5G Corciano Ellera,1,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,259.91070556640625,w47575_s10.tif
205119785,43.0629682,12.5803856,22201,B3 S1 Santa Maria degli Angeli Viale Maratona,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,221.46119689941406,w47575_s10.tif
205119786,43.0629682,12.5803856,22201,B3 S2 Santa Maria degli Angeli Viale Maratona,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,221.46119689941406,w47575_s10.tif
205119787,43.0629682,12.5803856,22201,B3 S3 Santa Maria degli Angeli Viale Maratona,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,221.46119689941406,w47575_s10.tif
205119805,43.0629682,12.5803856,22201,B20 S1 Santa Maria degli Angeli Viale Maratona,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,221.46119689941406,w47575_s10.tif
205119806,43.0629682,12.5803856,22201,B20 S2 Santa Maria degli Angeli Viale Maratona,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,221.46119689941406,w47575_s10.tif
205119807,43.0629682,12.5803856,22201,B20 S3 Santa Maria degli Angeli Viale Maratona,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,221.46119689941406,w47575_s10.tif
205137213,43.0714242,12.6144917,22201,B20 S1 Assisi Torre Civica P.zza del Comune,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,411.69940185546875,w47575_s10.tif
205137214,43.0714242,12.6144917,22201,B20 S2 Assisi Torre Civica P.zza del Comune,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,411.69940185546875,w47575_s10.tif
205137215,43.0714242,12.6144917,22201,B20 S3 Assisi Torre Civica P.zza del Comune,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,411.69940185546875,w47575_s10.tif
205137216,43.0714242,12.6144917,22201,B20 S4 Assisi Torre Civica P.zza del Comune,0,0,B20,S4,20.0,4.0,B20,tim_lteitaly.clf,411.69940185546875,w47575_s10.tif
205144597,43.1063446,12.3602132,22201,B7 S1 Perugia Parcheggio Pian di Massiano,0,0,B7,S1,7.0,1.0,B7,tim_lteitaly.clf,268.247802734375,w47575_s10.tif
205144607,43.1063446,12.3602132,22201,B1 S1 Perugia Parcheggio Pian di Massiano,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,268.247802734375,w47575_s10.tif
205144609,43.1063446,12.3602132,22201,B1 S3 Perugia Parcheggio Pian di Massiano,0,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,268.247802734375,w47575_s10.tif
205144617,43.1063446,12.3602132,22201,B3 S1 Perugia Parcheggio Pian di Massiano,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,268.247802734375,w47575_s10.tif
205144619,43.1063446,12.3602132,22201,B3 S3 Perugia Parcheggio Pian di Massiano,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,268.247802734375,w47575_s10.tif
205148201,43.0517151,12.2256441,22201,B3 S1 Perugia Fraz. Mugnano,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,269.6422119140625,w47575_s10.tif
205151520,43.2376173,12.7737143,22201,B1 S2 Gualdo Tadino Stadio,0,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,463.17138671875,w47580_s10.tif
205151530,43.2376173,12.7737143,22201,B3 S2 Gualdo Tadino Stadio,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,463.17138671875,w47580_s10.tif
205151550,43.2376173,12.7737143,22201,B20 S2 Gualdo Tadino Stadio,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,463.17138671875,w47580_s10.tif
205152041,43.0328394,12.4004409,22201,B3 S1 Perugia San Martino in Campo,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,177.2415008544922,w47575_s10.tif
205152042,43.0328394,12.4004409,22201,B3 S2 Perugia San Martino in Campo,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,177.2415008544922,w47575_s10.tif
205152043,43.0328394,12.4004409,22201,B3 S3 Perugia San Martino in Campo,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,177.2415008544922,w47575_s10.tif
205152061,43.0328394,12.4004409,22201,B20 S1 Perugia San Martino in Campo,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,177.2415008544922,w47575_s10.tif
205152062,43.0328394,12.4004409,22201,B20 S2 Perugia San Martino in Campo,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,177.2415008544922,w47575_s10.tif
205152063,43.0328394,12.4004409,22201,B20 S3 Perugia San Martino in Campo,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,177.2415008544922,w47575_s10.tif
205152297,43.11907,12.4066476,22201,B3 S1 Perugia Str. Colle San Giorgio,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,434.8691101074219,w47575_s10.tif
205152298,43.11907,12.4066476,22201,B3 S2 Perugia Str. Colle San Giorgio,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,434.8691101074219,w47575_s10.tif
205154335,43.1207673,12.2892289,22201,B1 S1 Corciano c/o Cimitero,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,389.2449035644531,w47575_s10.tif
205154336,43.1207673,12.2892289,22201,B1 S2 Corciano c/o Cimitero,0,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,389.2449035644531,w47575_s10.tif
205154345,43.1207673,12.2892289,22201,B3 S1 Corciano c/o Cimitero,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,389.2449035644531,w47575_s10.tif
205154346,43.1207673,12.2892289,22201,B3 S2 Corciano c/o Cimitero,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,389.2449035644531,w47575_s10.tif
205154366,43.1207673,12.2892289,22201,B20 S2 Corciano c/o Cimitero,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,389.2449035644531,w47575_s10.tif
205156137,43.0883812,12.3016015,22201,B3 S1 DSS Corciano Fraz. San Mariano Cimitero,0,1,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156138,43.0883812,12.3016015,22201,B3 S2 DSS Corciano Fraz. San Mariano Cimitero,0,1,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156139,43.0883812,12.3016015,22201,B3 S3 DSS Corciano Fraz. San Mariano Cimitero,0,1,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156157,43.0883812,12.3016015,22201,B20 S1 DSS Corciano Fraz. San Mariano Cimitero,0,1,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156158,43.0883812,12.3016015,22201,B20 S2 DSS Corciano Fraz. San Mariano Cimitero,0,1,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205156159,43.0883812,12.3016015,22201,B20 S3 DSS Corciano Fraz. San Mariano Cimitero,0,1,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,340.0707092285156,w47575_s10.tif
205163807,42.9970786,12.5828131,22201,B1 S1 Cannara Stadio Via San Donato,0,0,B1,S1,1.0,1.0,B1,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163808,42.9970786,12.5828131,22201,B1 S2 Cannara Stadio Via San Donato,0,0,B1,S2,1.0,2.0,B1,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163809,42.9970786,12.5828131,22201,B1 S3 Cannara Stadio Via San Donato,0,0,B1,S3,1.0,3.0,B1,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163810,42.9970786,12.5828131,22201,B1 S4 Cannara Stadio Via San Donato,0,0,B1,S4,1.0,4.0,B1,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163817,42.9970786,12.5828131,22201,B3 S1 Cannara Stadio Via San Donato,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163818,42.9970786,12.5828131,22201,B3 S2 Cannara Stadio Via San Donato,0,0,B3,S2,3.0,2.0,B3,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163819,42.9970786,12.5828131,22201,B3 S3 Cannara Stadio Via San Donato,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163820,42.9970786,12.5828131,22201,B3 S4 Cannara Stadio Via San Donato,0,0,B3,S4,3.0,4.0,B3,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163837,42.9970786,12.5828131,22201,B20 S1 Cannara Stadio Via San Donato,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163838,42.9970786,12.5828131,22201,B20 S2 Cannara Stadio Via San Donato,0,0,B20,S2,20.0,2.0,B20,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163839,42.9970786,12.5828131,22201,B20 S3 Cannara Stadio Via San Donato,0,0,B20,S3,20.0,3.0,B20,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205163840,42.9970786,12.5828131,22201,B20 S4 Cannara Stadio Via San Donato,0,0,B20,S4,20.0,4.0,B20,tim_lteitaly.clf,190.68809509277344,w47575_s10.tif
205164073,42.8670412,12.7324777,22201,B3 S1 Trevi Via Clitunno,0,0,B3,S1,3.0,1.0,B3,tim_lteitaly.clf,214.82080078125,w47580_s10.tif
205164075,42.8670412,12.7324777,22201,B3 S3 Trevi Via Clitunno,0,0,B3,S3,3.0,3.0,B3,tim_lteitaly.clf,214.82080078125,w47580_s10.tif
205164093,42.8670412,12.7324777,22201,B20 S1 Trevi Via Clitunno,0,0,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,214.82080078125,w47580_s10.tif
205173053,43.1173583,12.224453,22201,B20 S1 DSS Magione Monte Sperello,0,1,B20,S1,20.0,1.0,B20,tim_lteitaly.clf,407.0050964355469,w47575_s10.tif
