method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,param_alpha,param_variogram_model,param_nlags,param_jitter_epsilon,param_k_neighbors,param_power,param_epsilon,param_length_scale,param_noise_level,param_normalize_y,param_max_train,param_random_state,param_scope,param_feature_set,param_model,param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_fit_progress_every,param_predict_progress_every,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
2_kriging_v1,2_kriging,1,-120.0,0.9862905017295548,0.9844472600570161,0.9853680188963396,0.9713443030114871,31079.0,432.0,208.0,491.0,32210.0,127114,115064,32210,6.6677233099999285,30.10888691199989,36.77661022199982,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9647997340867542,0.9742883995703545,0.9695208510780433,0.943340577460416,29026.0,1059.0,1359.0,766.0,32210.0,127114,115064,32210,6.6677233099999285,30.10888691199989,36.77661022199982,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9212985735366453,0.924903137582618,0.9230973367453322,0.8740453275380317,24349.0,2080.0,3804.0,1977.0,32210.0,127114,115064,32210,6.6677233099999285,30.10888691199989,36.77661022199982,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.8747748186377137,0.8668403531625416,0.8707895119468813,0.8344613474076373,17967.0,2572.0,8911.0,2760.0,32210.0,127114,115064,32210,6.6677233099999285,30.10888691199989,36.77661022199982,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8454154507756105,0.768248429867411,0.8049868382568003,0.8343992548897858,11009.0,2013.0,15867.0,3321.0,32210.0,127114,115064,32210,6.6677233099999285,30.10888691199989,36.77661022199982,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-120.0,0.9862658719875615,0.9699595425440413,0.978044745675602,0.9573039322859731,30448.0,424.0,202.0,943.0,32017.0,127307,115183,32017,6.825441689999934,37.25108557600015,44.076527266000085,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9629329825626497,0.9627056919341785,0.9628193238344153,0.9311303370084643,28550.0,1099.0,1262.0,1106.0,32017.0,127307,115183,32017,6.825441689999934,37.25108557600015,44.076527266000085,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9187179099969798,0.9308063035495716,0.9247226022191823,0.8762532404660024,24335.0,2153.0,3720.0,1809.0,32017.0,127307,115183,32017,6.825441689999934,37.25108557600015,44.076527266000085,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.8697783879191998,0.8575433847343742,0.8636175547063263,0.8249992191648187,17740.0,2656.0,8674.0,2947.0,32017.0,127307,115183,32017,6.825441689999934,37.25108557600015,44.076527266000085,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8406254936029063,0.7465806270603914,0.7908168951298339,0.8241246837617515,10644.0,2018.0,15742.0,3613.0,32017.0,127307,115183,32017,6.825441689999934,37.25108557600015,44.076527266000085,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-120.0,0.9865784680279934,0.9885370305145529,0.9875567781971722,0.9755752990299187,30873.0,420.0,202.0,358.0,31853.0,127471,115292,31853,6.607231004999903,28.454568201000257,35.06179920600016,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9636169074371321,0.9801360544217687,0.9718062862538782,0.9475088688663548,28816.0,1088.0,1365.0,584.0,31853.0,127471,115292,31853,6.607231004999903,28.454568201000257,35.06179920600016,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9189199496586705,0.9302729624338829,0.9245616054641034,0.8765579380278152,24095.0,2126.0,3826.0,1806.0,31853.0,127471,115292,31853,6.607231004999903,28.454568201000257,35.06179920600016,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.8724848603242821,0.8691738834290162,0.8708262247136243,0.8336106489184693,17865.0,2611.0,8688.0,2689.0,31853.0,127471,115292,31853,6.607231004999903,28.454568201000257,35.06179920600016,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8431856768019756,0.776435474701535,0.8084350721420643,0.8374407434150629,10926.0,2032.0,15749.0,3146.0,31853.0,127471,115292,31853,6.607231004999903,28.454568201000257,35.06179920600016,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-120.0,0.9872113676731794,0.9831157136425034,0.9851592839072496,0.9709472887290622,30569.0,396.0,211.0,525.0,31701.0,127623,115342,31701,6.62846259600019,36.686202069000046,43.31466466500024,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9643133951137322,0.975556540415232,0.9699023861171367,0.9439765307088105,28616.0,1059.0,1309.0,717.0,31701.0,127623,115342,31701,6.62846259600019,36.686202069000046,43.31466466500024,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9219564550751304,0.9275384674713664,0.9247390376593168,0.8765023185388473,24052.0,2036.0,3734.0,1879.0,31701.0,127623,115342,31701,6.62846259600019,36.686202069000046,43.31466466500024,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.8795210286106885,0.8709724449628226,0.8752258631635493,0.83880634680294,17922.0,2455.0,8669.0,2655.0,31701.0,127623,115342,31701,6.62846259600019,36.686202069000046,43.31466466500024,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8555858310626703,0.7716612835275944,0.8114593716542992,0.8389009810416075,10990.0,1855.0,15604.0,3252.0,31701.0,127623,115342,31701,6.62846259600019,36.686202069000046,43.31466466500024,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-120.0,0.9864961139896373,0.9847422013900113,0.9856183774164846,0.9718162508321974,30463.0,417.0,191.0,472.0,31543.0,127781,115433,31543,6.7187824800003,40.279329227999824,46.998111708000124,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-115.0,0.9626600885344507,0.9762851267991776,0.9694247358480936,0.9430301493199759,28488.0,1105.0,1258.0,692.0,31543.0,127781,115433,31543,6.7187824800003,40.279329227999824,46.998111708000124,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-110.0,0.9205981221745683,0.9262887800326569,0.9234346840299984,0.8747424151158736,23826.0,2055.0,3766.0,1896.0,31543.0,127781,115433,31543,6.7187824800003,40.279329227999824,46.998111708000124,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-105.0,0.8760982874162323,0.8649774554009018,0.8705023551752201,0.8335288336556447,17649.0,2496.0,8643.0,2755.0,31543.0,127781,115433,31543,6.7187824800003,40.279329227999824,46.998111708000124,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_kriging_v1,2_kriging,1,-100.0,0.8473466843294631,0.7681548460016954,0.8058097743525139,0.8338458612053388,10874.0,1959.0,15428.0,3282.0,31543.0,127781,115433,31543,6.7187824800003,40.279329227999824,46.998111708000124,6,mad,98.0,3.5,0.0007,5.0,6,,spherical,12.0,0.01,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
