method,method_group,variant,threshold_dbm,precision,recall,f1,accuracy,tp,fp,tn,fn,n_valid,n_train_global,n_train_used,n_test,fit_seconds,predict_seconds,total_seconds,param_min_samples,param_alpha,param_outlier_strategy,param_outlier_percentile,param_outlier_mad_k,param_outlier_dbscan_eps,param_outlier_dbscan_min_samples,param_outlier_min_keep,n_repeats,precision_std,recall_std,f1_std,accuracy_std,tp_std,fp_std,tn_std,fn_std,n_valid_std,fit_seconds_std,predict_seconds_std,total_seconds_std
1_alpha_shape_v1,1_alpha_shape,1,-120.0,0.9849026618990863,0.999758025487982,0.9922747468278429,0.9846691556120423,24790.0,380.0,2.0,6.0,25178.0,127114,124169,32210,10.211533257000156,0.7546910529999877,10.966224310000143,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-115.0,0.9367790860107763,0.997831817022362,0.966342096053688,0.9350623560251012,23471.0,1584.0,72.0,51.0,25178.0,127114,124169,32210,10.211533257000156,0.7546910529999877,10.966224310000143,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-110.0,0.8819315468293977,0.9514359316859078,0.9153662566550395,0.8535229168321551,19944.0,2670.0,1546.0,1018.0,25178.0,127114,124169,32210,10.211533257000156,0.7546910529999877,10.966224310000143,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-105.0,0.7871193748315818,0.8709004174120453,0.8268931351733899,0.7571292398125348,14605.0,3950.0,4458.0,2165.0,25178.0,127114,124169,32210,10.211533257000156,0.7546910529999877,10.966224310000143,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-100.0,0.7742622157716498,0.6752742616033756,0.7213883254451204,0.7545079037254746,8002.0,2333.0,10995.0,3848.0,25178.0,127114,124169,32210,10.211533257000156,0.7546910529999877,10.966224310000143,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-120.0,0.9858631843776207,0.9997975052648631,0.9927814529587999,0.9856680905425367,24687.0,354.0,3.0,5.0,25049.0,127307,124373,32017,10.260991402999935,0.7505062909999651,11.0114976939999,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-115.0,0.9383567134268537,0.998294388538291,0.9673980414032478,0.9370034731925426,23412.0,1538.0,59.0,40.0,25049.0,127307,124373,32017,10.260991402999935,0.7505062909999651,11.0114976939999,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-110.0,0.8800924074814519,0.9508952143234292,0.9141248673342255,0.8514112339813965,19810.0,2699.0,1517.0,1023.0,25049.0,127307,124373,32017,10.260991402999935,0.7505062909999651,11.0114976939999,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-105.0,0.7878461952137671,0.8722834176838344,0.8279174908166149,0.756876522016847,14650.0,3945.0,4309.0,2145.0,25049.0,127307,124373,32017,10.260991402999935,0.7505062909999651,11.0114976939999,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-100.0,0.7765670202507232,0.6791768575525007,0.7246142079452917,0.7556389476625813,8053.0,2317.0,10875.0,3804.0,25049.0,127307,124373,32017,10.260991402999935,0.7505062909999651,11.0114976939999,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-120.0,0.9857057296865642,0.9998379976509659,0.992721569889014,0.9855494790627121,24687.0,358.0,2.0,4.0,25051.0,127471,124530,31853,10.244185190999815,0.7556026379998002,10.999787828999615,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-115.0,0.9337636822902049,0.9977294147887927,0.9646873640825964,0.9319388447566963,23289.0,1652.0,57.0,53.0,25051.0,127471,124530,31853,10.244185190999815,0.7556026379998002,10.999787828999615,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-110.0,0.8790730711178194,0.9530272403503706,0.914557546646961,0.8523013053371122,19802.0,2724.0,1549.0,976.0,25051.0,127471,124530,31853,10.244185190999815,0.7556026379998002,10.999787828999615,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-105.0,0.7899637308504304,0.8711718703360993,0.8285827844651374,0.7589716977366173,14593.0,3880.0,4420.0,2158.0,25051.0,127471,124530,31853,10.244185190999815,0.7556026379998002,10.999787828999615,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-100.0,0.7696975628853872,0.6720218766022902,0.7175509831652903,0.7528641571194763,7864.0,2353.0,10996.0,3838.0,25051.0,127471,124530,31853,10.244185190999815,0.7556026379998002,10.999787828999615,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-120.0,0.9860277833702437,0.9995510020817177,0.9927433413061986,0.9855929816089178,24488.0,347.0,3.0,11.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-115.0,0.937143550539983,0.9973311523395463,0.9663010384952245,0.9349672018994728,23169.0,1554.0,64.0,62.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-110.0,0.884920812957064,0.9487709846553466,0.9157342495009053,0.8539176626826029,19724.0,2565.0,1495.0,1065.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-105.0,0.7954582763337893,0.8671558100691958,0.8297611233197294,0.7599500985955169,14537.0,3738.0,4347.0,2227.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-100.0,0.7849960567823344,0.6727779655288949,0.724567788898999,0.7563684655318121,7963.0,2181.0,10832.0,3873.0,24849.0,127623,124675,31701,10.591307824000069,0.7444016110002849,11.335709435000354,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-120.0,0.9854468219005664,0.9998004708887026,0.9925717568290315,0.9852565362689207,25054.0,370.0,6.0,5.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-115.0,0.9365712930761935,0.9977266029554162,0.9661821962207228,0.9347749164537055,23699.0,1605.0,77.0,54.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-110.0,0.8800683072072861,0.9500378143316317,0.9137155066599991,0.8507568311381954,20099.0,2739.0,1540.0,1057.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-105.0,0.7813716209109077,0.8758990685060724,0.8259395152323771,0.7538038136426184,14857.0,4157.0,4316.0,2105.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_alpha_shape_v1,1_alpha_shape,1,-100.0,0.7760549558390579,0.6601001669449081,0.7133964817320705,0.7501867505405937,7908.0,2282.0,11173.0,4072.0,25435.0,127781,124819,31543,10.576800218999779,0.749780840999847,11.326581059999626,4,0.01,percentile,98.0,3.5,0.0007,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
